e1 gin gout
0.48000014 1.15321844 0.03967223
0.48000260 1.15334445 0.03967588
0.48000056 1.15414905 0.03970088
0.48000353 1.15712218 0.03971890
0.48000035 1.15588394 0.03972857
0.48000037 1.15688286 0.03971170
0.48000023 1.15839452 0.03972487
0.48000104 1.15791281 0.03974182
0.48000126 1.15944078 0.03972361
0.48000047 1.16158537 0.03976664
0.48000040 1.15998059 0.03974607
0.48000280 1.15939650 0.03972163
0.48000165 1.15968456 0.03972244
0.48000420 1.15722480 0.03972811
0.48000165 1.15670288 0.03974149
0.48000215 1.16337520 0.03975378
0.48000010 1.15710268 0.03970868
0.48000493 1.15892174 0.03971047
0.48000711 1.16213402 0.03978282
0.48000648 1.16234012 0.03977758
0.48000077 1.16536071 0.03978429
0.48000187 1.16565660 0.03978281
0.48000153 1.16607292 0.03977049
0.48000232 1.16347190 0.03976165
0.48000039 1.16423902 0.03977344
0.48000061 1.16237663 0.03972837
0.48000052 1.16131306 0.03975706
0.48000181 1.16044915 0.03975710
0.48000098 1.16321988 0.03974990
0.48000004 1.16193608 0.03976235
0.48000019 1.16541377 0.03977582
0.48000105 1.16735181 0.03976082
0.48000106 1.16639410 0.03977582
0.48000158 1.16220294 0.03975581
0.48000163 1.16163184 0.03976085
0.48000030 1.16235900 0.03977158
0.48000060 1.16457294 0.03974600
0.48000058 1.16168444 0.03973925
0.48000112 1.16153595 0.03971256
0.48000049 1.15640994 0.03970752
0.48000034 1.15857663 0.03971801
0.48000133 1.15801675 0.03970146
0.48000847 1.15801505 0.03967745
0.48000965 1.15760846 0.03971486
0.48000958 1.15675313 0.03973028
0.48000034 1.15675124 0.03969737
0.48000161 1.15760624 0.03970985
0.48000276 1.15903386 0.03970447
0.48000320 1.15664818 0.03972636
0.48000024 1.15940999 0.03972337
0.48000200 1.15954695 0.03971348
0.48000216 1.15572380 0.03970131
0.48000125 1.15706425 0.03971017
0.48000544 1.15757232 0.03971977
0.48000021 1.15835878 0.03970536
0.48000199 1.15833608 0.03972874
0.48000021 1.15988700 0.03971742
0.48000064 1.15450485 0.03968051
0.48000504 1.15802544 0.03969020
0.48000151 1.15787744 0.03971138
0.48000175 1.15776013 0.03972180
0.48000081 1.15813708 0.03974632
0.48000132 1.15767177 0.03974230
0.48000180 1.16293783 0.03974931
0.48000160 1.16148204 0.03975325
0.48000383 1.16257433 0.03974960
0.48000057 1.16135396 0.03971720
0.48000011 1.15993957 0.03974605
0.48000002 1.16095731 0.03973394
0.48000001 1.15771458 0.03971959
0.48000028 1.15641427 0.03969742
0.48000141 1.15539094 0.03968485
0.48000264 1.15482808 0.03968371
0.48000152 1.15714428 0.03969780
0.48000072 1.15760052 0.03970545
0.48000107 1.15394934 0.03970131
0.48000441 1.15779414 0.03971339
0.48000312 1.15812949 0.03971042
0.48000173 1.15442474 0.03969966
0.48000030 1.15673915 0.03972917
0.48000201 1.15741905 0.03973369
0.48000203 1.15828388 0.03971912
0.48000238 1.15846983 0.03972728
0.48000551 1.15772566 0.03972275
0.48000616 1.15756503 0.03972748
0.48000586 1.15685947 0.03971197
0.48000509 1.15970711 0.03973943
0.48000307 1.16059965 0.03974178
0.48000259 1.16097261 0.03974599
0.48000218 1.16142471 0.03975721
0.48000070 1.15980899 0.03976063
0.48000100 1.15909527 0.03972853
0.48000727 1.15804653 0.03973421
0.48000463 1.16095033 0.03974388
0.48000488 1.16011000 0.03974444
0.48001210 1.16154052 0.03972651
0.48000916 1.16055994 0.03972629
0.48000501 1.15741958 0.03972725
0.48000178 1.16111195 0.03975441
0.48000118 1.16158591 0.03975596
0.48000056 1.16214635 0.03975574
0.48000106 1.16060326 0.03971039
0.48000064 1.15407667 0.03968987
0.48000174 1.15409378 0.03968941
0.48000189 1.15721660 0.03972369
0.48000212 1.15880400 0.03971894
0.48000032 1.15969085 0.03974947
0.48000057 1.15980693 0.03975233
0.48000220 1.16222072 0.03973928
0.48000227 1.15935616 0.03971700
0.48000278 1.15755920 0.03973529
0.48000038 1.16003164 0.03974067
0.48000049 1.16240659 0.03974858
0.48000112 1.15940706 0.03973549
0.48000026 1.16062777 0.03974947
0.48000069 1.15986520 0.03974309
0.48000128 1.16010902 0.03974402
0.48000238 1.15841261 0.03973482
0.48000042 1.15844395 0.03971982
0.48000105 1.15593129 0.03971694
0.48000082 1.15717731 0.03969146
0.48000199 1.15620692 0.03969777
0.48000044 1.15705226 0.03972236
0.48000053 1.15889943 0.03971672
0.48000018 1.15805588 0.03974865
0.48000026 1.16094758 0.03974555
0.48000048 1.16330754 0.03973945
0.48000009 1.16393661 0.03978552
0.48000070 1.16809365 0.03979263
0.48000442 1.16433399 0.03973515
0.48000112 1.15994502 0.03969784
0.48000087 1.15503308 0.03971103
0.48000587 1.15524464 0.03970878
0.48000356 1.15666973 0.03972111
0.48000040 1.15825603 0.03973273
0.48000006 1.15702286 0.03970789
0.48000240 1.15832516 0.03971894
0.48000081 1.15830406 0.03971357
0.48001279 1.15776312 0.03973878
0.48001005 1.16040641 0.03974333
0.48001193 1.16177128 0.03975514
0.48000796 1.16120377 0.03972995
0.48000029 1.16138271 0.03975465
0.48000002 1.16332557 0.03973752
0.48000083 1.15680485 0.03971934
0.48001295 1.15923622 0.03970585
0.48000949 1.15483776 0.03969981
0.48000344 1.15794598 0.03972913
0.48000448 1.15830910 0.03973483
0.48000508 1.15880908 0.03972474
0.48001090 1.15746269 0.03974753
0.48000046 1.16054748 0.03972117
0.48000107 1.16041725 0.03971691
0.48000050 1.15700907 0.03970079
0.48000295 1.15690944 0.03972736
0.48000313 1.15784179 0.03972255
0.48000618 1.15727088 0.03970835
0.48000795 1.15869349 0.03973605
0.48001069 1.15875704 0.03972735
0.48000428 1.15790864 0.03972433
0.48000203 1.16068887 0.03971585
0.48000246 1.15520443 0.03971920
0.48000381 1.15654947 0.03973340
0.48000219 1.16051596 0.03975300
0.48000188 1.16190906 0.03973930
0.48000162 1.15949026 0.03973856
0.48000252 1.16065433 0.03973074
0.48000372 1.16042061 0.03974274
0.48000478 1.16049256 0.03974167
0.48000255 1.16252407 0.03976836
0.48000163 1.16348046 0.03977190
0.48000244 1.16292855 0.03976657
0.48000509 1.16179604 0.03976826
0.48000672 1.16238173 0.03976878
0.48000094 1.16162148 0.03972062
0.48000027 1.16279288 0.03972377
0.48000011 1.16262357 0.03972821
0.48000011 1.16191359 0.03975234
0.48000136 1.16161212 0.03972386
0.48000035 1.16164096 0.03974780
0.48000232 1.16277488 0.03973881
0.48000423 1.15765742 0.03970636
0.48000391 1.15811248 0.03970558
0.48000456 1.15630857 0.03970964
0.48000830 1.15496709 0.03971581
0.48000026 1.15674267 0.03969516
0.48000118 1.15525018 0.03969373
0.48000089 1.15642973 0.03968279
0.48000027 1.15330571 0.03968554
0.48000166 1.15589827 0.03969671
0.48000210 1.15838909 0.03972507
0.48000613 1.15953916 0.03972680
0.48000442 1.15588591 0.03970160
0.48000245 1.15491178 0.03970534
0.48000013 1.15735280 0.03972354
0.48000025 1.15706748 0.03973372
0.48000036 1.15727941 0.03970622
0.48000091 1.15767325 0.03972089
0.48000117 1.15685620 0.03971531
0.48000143 1.15487523 0.03969935
0.48000491 1.15588963 0.03969797
0.48000005 1.15770198 0.03970770
0.48000015 1.15890861 0.03973170
0.48000108 1.15608917 0.03969884
0.48000144 1.15410291 0.03968993
0.48000543 1.15285246 0.03969724
0.48000185 1.15896466 0.03972694
0.48000165 1.15948581 0.03972745
0.48000167 1.16132792 0.03975468
0.48000051 1.16325076 0.03976174
0.48000018 1.16123084 0.03973270
0.48000444 1.16264069 0.03976690
0.48000328 1.16229960 0.03973265
0.48000692 1.16255690 0.03975325
0.48000165 1.16592741 0.03976518
0.48000231 1.16222457 0.03974594
0.48000517 1.16078241 0.03974492
0.48000174 1.16213874 0.03974333
0.48001158 1.16215815 0.03976486
0.48001160 1.16509558 0.03977452
0.48000494 1.16103563 0.03977590
0.48000505 1.16014130 0.03969484
0.48000153 1.15275171 0.03968205
0.48000093 1.15772296 0.03968701
0.48000028 1.15800998 0.03971454
0.48000079 1.16013238 0.03971819
0.48000533 1.16032768 0.03972674
0.48000094 1.15998517 0.03973626
0.48000310 1.15888010 0.03966829
0.48000300 1.15656673 0.03966539
0.48000080 1.15167375 0.03965544
0.48000252 1.15285514 0.03966855
0.48000153 1.15264335 0.03969419
0.48000112 1.15262573 0.03968520
0.48000018 1.15802035 0.03973857
0.48000154 1.15663827 0.03973211
0.48000169 1.16319593 0.03976637
0.48000049 1.16257240 0.03975964
0.48000120 1.16235745 0.03974646
0.48000003 1.16198639 0.03975552
0.48000247 1.15979474 0.03976284
0.48000018 1.16411482 0.03974306
0.48000161 1.16303614 0.03974869
0.48000072 1.16160122 0.03974427
0.48000143 1.16156663 0.03975582
0.48000058 1.16213570 0.03973075
0.48000170 1.16302049 0.03975129
0.48000139 1.15919027 0.03974810
0.48000017 1.16174833 0.03975256
0.48000259 1.16255152 0.03974999
0.48000329 1.16409366 0.03977594
0.48000409 1.16222889 0.03974275
0.48000147 1.15895509 0.03972919
0.48000213 1.15939081 0.03973428
0.48000162 1.16059553 0.03975669
0.48000614 1.15963723 0.03971840
0.48000184 1.15686129 0.03970807
0.48000080 1.15603663 0.03971235
0.48000003 1.15883820 0.03971650
0.48000354 1.15830550 0.03973294
0.48000598 1.16120382 0.03975484
0.48000858 1.15826062 0.03968780
0.48000095 1.15575843 0.03970848
0.48000908 1.15611166 0.03971547
0.48001021 1.16110550 0.03971526
0.48000089 1.16015913 0.03975799
0.48000569 1.16415193 0.03975291
0.48000691 1.16239002 0.03975546
0.48000148 1.16169672 0.03975485
0.48000113 1.16181304 0.03974779
0.48000086 1.15992415 0.03975292
0.48000096 1.16193169 0.03973925
0.48000148 1.16200484 0.03975282
0.48000201 1.16329128 0.03975971
0.48000526 1.16323015 0.03974175
0.48000055 1.16443242 0.03973152
0.48000338 1.16115432 0.03974850
0.48000128 1.16107811 0.03975339
0.48000126 1.16261860 0.03972448
0.48000228 1.16256377 0.03972495
0.48000975 1.16072395 0.03974992
0.48000605 1.16115616 0.03975928
0.48000036 1.16134160 0.03974339
0.48000217 1.16127811 0.03975394
0.48000186 1.16349434 0.03972845
0.48000377 1.15700270 0.03969778
0.48000508 1.15455962 0.03972414
0.48000132 1.15962379 0.03973175
0.48000064 1.16433494 0.03973543
0.48000189 1.16428315 0.03979178
0.48000112 1.16776604 0.03978794
0.48000358 1.16624908 0.03978925
0.48000053 1.16272809 0.03970960
0.48000065 1.15507676 0.03971948
0.48000079 1.15514480 0.03971497
0.48000905 1.15734453 0.03973713
0.48000139 1.16034139 0.03973164
0.48000053 1.16019528 0.03972906
0.48000529 1.15701787 0.03969165
0.48000610 1.15716759 0.03971942
0.48000267 1.15816983 0.03971490
0.48000207 1.15601186 0.03970615
0.48001263 1.15534104 0.03972411
0.48000816 1.15737693 0.03969909
0.48000349 1.15774266 0.03970884
0.48000033 1.15477876 0.03974229
0.48000246 1.15954944 0.03975902
0.48000055 1.15893045 0.03970263
0.48000132 1.15751045 0.03968785
0.48000075 1.15283958 0.03967302
0.48000454 1.15499401 0.03973624
0.48000710 1.16403252 0.03975130
0.48001121 1.16393440 0.03976749
0.48000224 1.16185141 0.03978419
0.48000240 1.16315071 0.03976247
0.48000221 1.16104433 0.03975011
0.48000308 1.15965666 0.03975501
0.48000283 1.15645332 0.03974085
0.48000013 1.15816747 0.03971886
0.48000364 1.16000064 0.03973562
0.48000064 1.16247485 0.03977380
0.48000130 1.16273964 0.03975189
0.48000130 1.16027937 0.03974136
0.48000197 1.16025571 0.03974363
0.48000214 1.16130478 0.03973726
0.48000076 1.16127046 0.03975535
0.48000021 1.16039179 0.03974409
0.48000016 1.15857985 0.03972934
0.48000120 1.16129282 0.03973381
0.48000282 1.15910331 0.03974293
0.48000091 1.15974711 0.03974255
0.48000272 1.15997784 0.03975089
0.48000055 1.15907327 0.03972185
0.48000101 1.16003324 0.03974787
0.48000127 1.15955143 0.03971841
0.48000197 1.15666452 0.03970217
0.48000065 1.15525126 0.03970641
0.48000050 1.15478206 0.03970646
0.48000248 1.15596257 0.03971707
0.48000275 1.15609977 0.03971998
0.48000158 1.15826605 0.03973797
0.48000179 1.15689299 0.03973876
0.48000023 1.16199927 0.03973237
0.48000126 1.15985435 0.03973723
0.48000534 1.16142649 0.03977161
0.48000075 1.16121938 0.03973078
0.48001412 1.15817443 0.03971955
0.48000419 1.15873197 0.03974317
0.48000080 1.16040185 0.03976198
0.48000147 1.16109369 0.03975437
0.48000059 1.16130915 0.03973268
0.48000106 1.15959312 0.03973372
0.48000130 1.15962967 0.03972361
0.48000051 1.15771133 0.03971631
0.48000174 1.15743218 0.03971224
0.48000079 1.15567214 0.03969836
0.48000240 1.15608250 0.03969736
0.48000148 1.15568660 0.03969845
0.48000249 1.15491364 0.03972160
0.48000076 1.15804797 0.03971951
0.48000189 1.15273449 0.03970412
0.48000067 1.15349013 0.03966889
0.48000010 1.15222346 0.03967152
0.48000206 1.15613272 0.03972281
0.48001416 1.15563184 0.03968597
0.48001406 1.15598814 0.03973945
0.48001072 1.15618290 0.03970397
0.48000748 1.15612490 0.03972441
0.48000158 1.15995755 0.03972762
0.48000161 1.16035812 0.03972638
0.48000088 1.16055021 0.03972228
0.48000015 1.15945428 0.03974268
0.48000265 1.15961522 0.03972277
0.48000333 1.15867805 0.03972266
0.48000180 1.15714258 0.03972490
0.48000076 1.15968643 0.03973440
0.48000005 1.15816312 0.03972874
0.48000015 1.15911948 0.03972375
