    6.1800E-03      1.0250E+01   0.154
    9.2400E-03      1.2335E+01   0.185
    1.2420E-02      1.3227E+01   0.198
    1.5480E-02      1.5174E+01   0.227
    1.8600E-02      1.5790E+01   0.237
    2.0700E-02      1.7328E+01   0.260
    2.1780E-02      1.7378E+01   0.326
    2.4900E-02      1.8234E+01   0.273
    2.8020E-02      1.9699E+01   0.300
    2.9100E-02      2.0129E+01   0.302
    3.1200E-02      2.1804E+01   0.327
    3.3240E-02      2.2911E+01   0.343
    3.4260E-02      2.1594E+01   0.323
    3.7380E-02      2.3803E+01   0.357
    4.0500E-02      2.5309E+01   0.380
    4.1580E-02      2.5725E+01   0.386
    4.3680E-02      2.5930E+01   0.388
    4.5720E-02      2.5899E+01   0.388
    4.6800E-02      2.5439E+01   0.381
    4.9980E-02      2.6833E+01   0.402
    5.4180E-02      2.5526E+01   0.383
    5.6220E-02      2.6602E+01   0.399
    5.8260E-02      2.5886E+01   0.388
    6.2400E-02      2.4608E+01   0.369
    6.5400E-02      2.3429E+01   0.351
    6.6600E-02      2.2901E+01   0.343
    6.9000E-02      2.1818E+01   0.327
    7.5000E-02      1.9229E+01   0.288
    8.1600E-02      1.6604E+01   0.249
    8.7600E-02      1.4266E+01   0.214
    9.3600E-02      1.2332E+01   0.185
    1.0020E-01      1.0626E+01   0.159
    8.0400E-02      1.6970E+01   0.253
    8.5800E-02      1.4961E+01   0.223
    9.1800E-02      1.2897E+01   0.192
    9.7200E-02      1.1024E+01   0.165
    1.0380E-01      9.9085E+00   0.148
    1.0980E-01      8.9950E+00   0.134
    1.2300E-01      6.7947E+00   0.101
    1.3620E-01      5.4398E+00   0.081
    1.5060E-01      4.4269E+00   0.066
    1.6560E-01      3.5523E+00   0.053
    1.8120E-01      2.8963E+00   0.043
    1.9740E-01      2.5082E+00   0.037
    2.1420E-01      2.1603E+00   0.032
