0.00    0.593000000000000e-3
0.02	   0.585010869241084e-3
0.03	   0.584611680725284e-3
0.04	   0.580654779023929e-3
0.05	   0.576731825583014e-3
0.06	   0.572817259448084e-3
0.07	   0.568908532157706e-3
0.08	   0.565002734138491e-3
0.09	   0.561096712235957e-3
0.1     0.557187141050359e-3
0.2     0.517380311506322e-3
0.3     0.477084792384851e-3
0.4     0.440316664532865e-3
0.5     0.410187036589670e-3
0.6     0.387331485948251e-3
0.7     0.370947721078488e-3
0.8     0.359803265185253e-3
0.9     0.352714995663112e-3
1.      0.348700749114671e-3
1.1     0.346993275814670e-3
1.2     0.347010430534808e-3
1.3     0.348318049451017e-3
1.4     0.350596947113578e-3
1.5     0.353616193226105e-3
1.6     0.357211974755665e-3
1.7     0.361270829295440e-3
1.8     0.365716230160110e-3
1.9     0.370497818161266e-3
2.      0.375582822129049e-3
2.1     0.380949357828925e-3
2.2     0.386581363900185e-3
2.3     0.392464955830025e-3
2.4     0.398585981730662e-3
2.5     0.404928564070421e-3
2.6     0.411474417862480e-3
2.7     0.418202750223599e-3
2.8     0.425090567371308e-3
2.9     0.432113240421292e-3
3.      0.439245208169387e-3
