Ti
0.2
0.3
0.4
0.5
0.6
0.7
0.8
1 .o
1.3
1.5
1.8
2.0
2.5
3.0
4.0
5.0
6.0
8.0
10.0
12.0
15.0
20.0
30.0
40.0
50.0
