    4.6809E-02     2.6640E+01    1.3853E-01
    4.6009E-02     2.6740E+01    1.2835E-01
    4.4007E-02     2.6300E+01    1.4202E-01
    4.2005E-02     2.6000E+01    1.2220E-01
    4.0004E-02     2.5280E+01    1.4157E-01
    3.6001E-02     2.4020E+01    1.1289E-01
    3.1998E-02     2.2190E+01    1.1095E-01
    2.7996E-02     2.0700E+01    9.3150E-02
    2.3994E-02     1.8870E+01    7.9254E-02
    1.9992E-02     1.7350E+01    8.8485E-02
    1.5990E-02     1.5810E+01    1.2964E-01
    1.1989E-02     1.4320E+01    9.7376E-02
     9.989E-03     1.3920E+01    1.4059E-01
     7.990E-03     1.3430E+01    2.6994E-01
     6.990E-03     1.2830E+01    4.0414E-01
     5.990E-03     1.3480E+01    3.8553E-01
     4.992E-03     1.2630E+01    5.7972E-01
