"E","E_stat","S","Stat","Syst","dat"
0.029951,0.000075,21.766,0.021766,0.421158113207547,"Arn53"
0.026383,0.000075,20.525,0.020525,0.421158113207547,"Arn53"
0.026095,0.000075,20.277,0.020277,0.421158113207547,"Arn53"
0.043292,0.000075,27.067,0.027067,0.421158113207547,"Arn53"
0.009318,0.000075,13.703,0.0274,0.421158113207547,"Arn53"
0.020273,0.000075,17.721,0.0354,0.421158113207547,"Arn53"
0.031522,0.000075,22.695,0.022695,0.421158113207547,"Arn53"
0.014679,0.000075,15.753,0.0314,0.421158113207547,"Arn53"
0.037164,0.000075,25.184,0.025184,0.421158113207547,"Arn53"
0.025724,0.000075,20.596,0.020596,0.421158113207547,"Arn53"
0.025664,0.000075,19.92,0.01992,0.421158113207547,"Arn53"
0.037002,0.000075,24.967,0.024967,0.421158113207547,"Arn53"
0.014481,0.000075,14.939,0.03,0.421158113207547,"Arn53"
0.031162,0.000075,22.749,0.022749,0.421158113207547,"Arn53"
0.019925,0.000075,17.249,0.0344,0.421158113207547,"Arn53"
0.0089763,0.000075,13.34,0.0267,0.421158113207547,"Arn53"
0.042495,0.000075,26.847,0.026847,0.421158113207547,"Arn53"
0.025322,0.000075,19.969,0.019969,0.421158113207547,"Arn53"
0.0095159,0.000075,13.6,0.0272,0.421158113207547,"Arn53"
0.0094739,0.000075,13.508,0.027,0.421158113207547,"Arn53"
0.014894,0.000075,15.448,0.03,0.421158113207547,"Arn53"
0.012826,0.000075,14.957,0.03,0.421158113207547,"Arn53"
0.012808,0.000075,14.302,0.029,0.421158113207547,"Arn53"
0.04725,0.000075,27.542,0.027542,0.421158113207547,"Arn53"
0.04722,0.000075,27.505,0.027505,0.421158113207547,"Arn53"
0.018348,0.000075,16.989,0.032,0.421158113207547,"Arn53"
0.01833,0.000075,16.921,0.034,0.421158113207547,"Arn53"
0.041254,0.000075,26.514,0.026514,0.421158113207547,"Arn53"
0.04123,0.000075,26.6,0.0266,0.421158113207547,"Arn53"
0.023973,0.000075,18.366,0.036,0.421158113207547,"Arn53"
0.023955,0.000075,18.969,0.038,0.421158113207547,"Arn53"
0.035383,0.000075,24.589,0.024589,0.421158113207547,"Arn53"
0.035359,0.000075,24.314,0.024314,0.421158113207547,"Arn53"
0.052826,0.000075,27.085,0.027085,0.421158113207547,"Arn53"
0.052796,0.000075,26.975,0.026975,0.421158113207547,"Arn53"
0.058678,0.000075,25.669,0.025669,0.421158113207547,"Arn53"
0.05866,0.000075,25.621,0.025621,0.421158113207547,"Arn53"
0.064543,0.000075,23.157,0.023157,0.421158113207547,"Arn53"
0.064513,0.000075,23.071,0.023071,0.421158113207547,"Arn53"
0.070443,0.000075,20.227,0.020227,0.421158113207547,"Arn53"
0.070395,0.000075,20.445,0.020445,0.421158113207547,"Arn53"
0.067391,0.000075,21.951,0.021951,0.421158113207547,"Arn53"
0.067373,0.000075,22.002,0.022002,0.421158113207547,"Arn53"
0.061431,0.000075,24.492,0.024492,0.421158113207547,"Arn53"
0.061395,0.000075,24.593,0.024593,0.421158113207547,"Arn53"
0.04665,0.000075,27.489,0.027489,0.421158113207547,"Arn53"
0.046638,0.000075,27.365,0.027365,0.421158113207547,"Arn53"
0.046614,0.000075,27.466,0.027466,0.421158113207547,"Arn53"
0.012034,0.000075,13.68,0.027,0.421158113207547,"Arn53"
0.011992,0.000075,13.849,0.028,0.421158113207547,"Arn53"
0.01195,0.000075,14.068,0.028,0.421158113207547,"Arn53"
0.025262,0.000075,20.755,0.020755,0.421158113207547,"Arn53"
0.025166,0.000075,20.718,0.020718,0.421158113207547,"Arn53"
0.047948,0.000009,26.48,0.21184,0.316615,"Bro87"
0.050947,0.000009,26.84,0.21472,0.316615,"Bro87"
0.053942,0.000009,25.89,0.20712,0.316615,"Bro87"
0.056942,0.000009,25.5,0.204,0.316615,"Bro87"
0.059941,0.000009,24.33,0.19464,0.316615,"Bro87"
0.062941,0.000009,23.44,0.18752,0.316615,"Bro87"
0.065941,0.000009,22.02,0.17616,0.316615,"Bro87"
0.069541,0.000009,20.34,0.16272,0.316615,"Bro87"
0.046809,0.0000064,26.64,0.13853,0.244966235294118,"Jar84"
0.046009,0.0000062,26.74,0.12835,0.244966235294118,"Jar84"
0.044007,0.000006,26.3,0.14202,0.244966235294118,"Jar84"
0.042005,0.0000056,26,0.1222,0.244966235294118,"Jar84"
0.040004,0.0000053,25.28,0.14157,0.244966235294118,"Jar84"
0.036001,0.0000051,24.02,0.11289,0.244966235294118,"Jar84"
0.031998,0.0000049,22.19,0.11095,0.244966235294118,"Jar84"
0.027996,0.0000048,20.7,0.09315,0.244966235294118,"Jar84"
0.023994,0.0000044,18.87,0.079254,0.244966235294118,"Jar84"
0.019992,0.0000042,17.35,0.088485,0.244966235294118,"Jar84"
0.01599,0.0000039,15.81,0.12964,0.244966235294118,"Jar84"
0.011989,0.0000035,14.32,0.097376,0.244966235294118,"Jar84"
0.009989,0.0000031,13.92,0.14059,0.244966235294118,"Jar84"
0.00799,0.000003,13.43,0.26994,0.244966235294118,"Jar84"
0.00699,0.0000028,12.83,0.40414,0.244966235294118,"Jar84"
0.00599,0.0000026,13.48,0.38553,0.244966235294118,"Jar84"
0.004992,0.0000024,12.63,0.57972,0.244966235294118,"Jar84"
0.046,0.0012,25.93,0.52,0.239222222222222,"Kob66"
0.048,0.0012,25.96,0.52,0.239222222222222,"Kob66"
0.052,0.0013,25.76,0.52,0.239222222222222,"Kob66"
0.056,0.0014,25.28,0.51,0.239222222222222,"Kob66"
0.06,0.0015,24.77,0.5,0.239222222222222,"Kob66"
0.064,0.0013,23.66,0.47,0.239222222222222,"Kob66"
0.066,0.0013,22.85,0.46,0.239222222222222,"Kob66"
0.068,0.0014,21.89,0.44,0.239222222222222,"Kob66"
0.072,0.0014,19.98,0.4,0.239222222222222,"Kob66"
0.076,0.0015,18.14,0.36,0.239222222222222,"Kob66"
0.08,0.0016,16.53,0.33,0.239222222222222,"Kob66"
0.084,0.0017,15.01,0.3,0.239222222222222,"Kob66"
0.088,0.0018,13.65,0.27,0.239222222222222,"Kob66"
0.092,0.0018,12.5,0.25,0.239222222222222,"Kob66"
0.096,0.0019,11.41,0.23,0.239222222222222,"Kob66"
0.1,0.002,10.45,0.21,0.239222222222222,"Kob66"
0.104,0.0021,9.59,0.19,0.239222222222222,"Kob66"
0.108,0.0022,8.76,0.18,0.239222222222222,"Kob66"
0.112,0.0022,7.98,0.16,0.239222222222222,"Kob66"
0.116,0.0023,7.28,0.15,0.239222222222222,"Kob66"
0.12,0.0024,6.65,0.13,0.239222222222222,"Kob66"
0.124,0.0025,6.08,0.12,0.239222222222222,"Kob66"
0.128,0.0026,5.61,0.11,0.239222222222222,"Kob66"
0.132,0.0026,5.23,0.1,0.239222222222222,"Kob66"
0.136,0.0027,4.89,0.1,0.239222222222222,"Kob66"
0.14,0.0028,4.6,0.09,0.239222222222222,"Kob66"
0.144,0.0029,4.32,0.09,0.239222222222222,"Kob66"
0.148,0.003,4.11,0.08,0.239222222222222,"Kob66"
0.152,0.003,3.88,0.08,0.239222222222222,"Kob66"
0.156,0.0031,3.69,0.07,0.239222222222222,"Kob66"
0.16,0.0032,3.5,0.07,0.239222222222222,"Kob66"
0.164,0.0033,3.32,0.08,0.239222222222222,"Kob66"
0.168,0.0034,3.15,0.08,0.239222222222222,"Kob66"
0.176,0.0035,2.84,0.07,0.239222222222222,"Kob66"
0.184,0.0037,2.62,0.07,0.239222222222222,"Kob66"
0.192,0.0038,2.42,0.06,0.239222222222222,"Kob66"
0.2,0.004,2.26,0.06,0.239222222222222,"Kob66"
0.208,0.0042,2.13,0.05,0.239222222222222,"Kob66"
0.216,0.0043,2,0.05,0.239222222222222,"Kob66"
0.224,0.0045,1.89,0.05,0.239222222222222,"Kob66"
0.232,0.0046,1.79,0.04,0.239222222222222,"Kob66"
0.24,0.0048,1.69,0.04,0.239222222222222,"Kob66"
0.2482,0.005,1.6,0.04,0.239222222222222,"Kob66"
0.2562,0.0051,1.51,0.04,0.239222222222222,"Kob66"
0.2643,0.0053,1.44,0.04,0.239222222222222,"Kob66"
0.01242,0.00006,13.227,0.13,0.304981534883721,"Con52"
0.01548,0.000068,15.174,0.15,0.304981534883721,"Con52"
0.0186,0.000077,15.79,0.16,0.304981534883721,"Con52"
0.0207,0.000082,17.328,0.17,0.304981534883721,"Con52"
0.02178,0.000085,17.378,0.17,0.304981534883721,"Con52"
0.0249,0.000093,18.234,0.18,0.304981534883721,"Con52"
0.02802,0.000102,19.699,0.2,0.304981534883721,"Con52"
0.0291,0.000105,20.129,0.2,0.304981534883721,"Con52"
0.0312,0.00011,21.804,0.22,0.304981534883721,"Con52"
0.03324,0.000116,22.911,0.23,0.304981534883721,"Con52"
0.03426,0.000118,21.594,0.21,0.304981534883721,"Con52"
0.03738,0.000127,23.803,0.24,0.304981534883721,"Con52"
0.0405,0.000135,25.309,0.25,0.304981534883721,"Con52"
0.04158,0.000138,25.725,0.26,0.304981534883721,"Con52"
0.04368,0.000143,25.93,0.26,0.304981534883721,"Con52"
0.04572,0.000149,25.899,0.26,0.304981534883721,"Con52"
0.0468,0.000152,25.439,0.25,0.304981534883721,"Con52"
0.04998,0.000161,26.833,0.27,0.304981534883721,"Con52"
0.05418,0.000172,25.526,0.26,0.304981534883721,"Con52"
0.05622,0.000177,26.602,0.27,0.304981534883721,"Con52"
0.05826,0.000183,25.886,0.26,0.304981534883721,"Con52"
0.0624,0.000193,24.608,0.25,0.304981534883721,"Con52"
0.0654,0.000202,23.429,0.23,0.304981534883721,"Con52"
0.0666,0.000205,22.901,0.23,0.304981534883721,"Con52"
0.069,0.000211,21.818,0.22,0.304981534883721,"Con52"
0.075,0.000227,19.229,0.2,0.304981534883721,"Con52"
0.0804,0.000242,16.97,0.17,0.304981534883721,"Con52"
0.0816,0.000245,16.604,0.17,0.304981534883721,"Con52"
0.0858,0.000256,14.961,0.15,0.304981534883721,"Con52"
0.0876,0.000261,14.266,0.14,0.304981534883721,"Con52"
0.0918,0.000272,12.897,0.13,0.304981534883721,"Con52"
0.0936,0.000277,12.332,0.12,0.304981534883721,"Con52"
0.0972,0.000287,11.024,0.11,0.304981534883721,"Con52"
0.1002,0.000295,10.626,0.11,0.304981534883721,"Con52"
0.1038,0.000304,9.9085,0.1,0.304981534883721,"Con52"
0.1098,0.00032,8.995,0.09,0.304981534883721,"Con52"
0.123,0.000356,6.7947,0.07,0.304981534883721,"Con52"
0.1362,0.000392,5.4398,0.05,0.304981534883721,"Con52"
0.1506,0.00043,4.4269,0.04,0.304981534883721,"Con52"
0.1656,0.00047,3.5523,0.04,0.304981534883721,"Con52"
0.1812,0.000512,2.8963,0.03,0.304981534883721,"Con52"
0.1974,0.000555,2.5082,0.03,0.304981534883721,"Con52"
0.2142,0.0006,2.1603,0.02,0.304981534883721,"Con52"
