0.032	24.6	5.5	
0.035	25.9	5.4	
0.038	26.3	5.1	
0.042	26.3	4.7	
0.046	26.9	4.5	
0.05	26.7	4.2	
0.054	26.6	4.0	
0.058	25.5	3.6	
0.062	23.9	3.3	
0.066	22.4	3.0	
0.07	20.9	2.7	
0.074	19.3	2.5	
0.078	17.6	2.2	
0.082	16.1	2.0	
0.086	14.7	1.8	
0.09	13.4	1.6	
0.098	11.2	1.3	
0.106	9.3     1.0	
0.114	7.9     0.88	
0.122	7.0     0.75	
0.13	6.0     0.66	
0.138	5.3     0.55	
0.146	4.6     0.48	
0.151	4.1     0.44	
0.154	4.1     0.44	
0.162	3.6     0.38	
0.23	1.7     0.18	
0.392	0.85	0.09	
0.48	0.69	0.07	
0.0124	13.3	2.1	
0.0155	15.1	1.8	
0.0186	15.8	1.5	
0.0207	17.3	1.4	
0.0218	17.3	1.4	
0.0249	18.2	1.2	
0.028	19.7	1.2	
0.0291	20.1	1.2	
0.0312	21.8	1.2	
0.0332	22.9	1.2	
0.0342	21.7	1.3	
0.0373	23.9	1.3	
0.0405	25.3	1.3	
0.0415	25.8	1.3	
0.0437	25.9	1.3	
0.0457	26.0	1.2	
0.0468	25.5	1.2	
0.0499	26.9	1.2	
0.0541	25.6	1.1	
0.0562	26.6	1.1	
0.0582	25.9	1.1	
0.0624	24.6	1.0	
0.0653	23.5	1.0	
0.0665	23.0	0.9	
0.0689	21.9	0.9	
0.0749	19.3	0.8	
0.0803	17.0	0.75	
0.0815	16.6	0.7	
0.0857	15.0	0.6	
0.0875	14.3	0.6	
0.0917	12.9	0.6	
0.0935	12.3	0.5	
0.0971	11.0	0.4	
0.1001	10.6	0.4	
0.1037	9.9     0.4	
0.1097	9.0     0.4	
0.123	6.8     0.3	
0.1361	5.4     0.2	
0.1505	4.4     0.1	
0.1655	3.5     0.13	
0.181	2.9     0.1	
0.197	2.5     0.1	
0.214	2.2     0.1	
0.0132	14.6	1.9	
0.015	15.5	1.2	
0.018	16.6	1.2	
0.0198	17.7	1.1	
0.0216	18.3	1.1	
0.024	19.4	1.1	
0.0276	21.3	1.1	
0.0318	22.9	0.99	
0.036	24.2	0.97	
0.0402	25.7	0.99	
0.0438	26.6	0.94	
0.048	27.0	0.93	
0.0558	26.4	0.85	
0.06	24.91	0.8	
0.0642	23.23	0.74	
0.0659	22.55	0.67	
0.0677	21.84	0.64	
0.072	19.49	0.57	
0.601       0.684	0.023	
0.917       0.48	0.042	
0.3         1.407	0.071	
0.45        0.84	0.052	
0.6         0.598	0.038	
0.75        0.503	0.034	
0.9         0.45	0.029	
0.046       25.9	1.4	
0.048       26.0	1.4
0.052       25.8	1.5	
0.056       25.3	1.4	
0.06        24.8	1.3	
0.064       23.7	1.1	
0.066       22.9	1	
0.068       21.98	0.96	
0.072       19.97	0.84	
0.076       18.13	0.7	
0.08        16.53	0.62	
0.084       15.03	0.52	
0.088       13.65	0.53	
0.092       12.51	0.48	
0.096       11.43	0.4	
0.1         10.43	0.37	
0.104       9.6     0.31	
0.108       8.77	0.28	
0.112       7.97	0.26	
0.116       7.29	0.22	
0.12        6.65	0.22	
0.124       6.09	0.2	
0.128       5.62	0.16	
0.132       5.21	0.15	
0.136       4.88	0.15	
0.14        4.61	0.15	
0.144       4.32	0.11	
0.148       4.12	0.11	
0.152       3.88	0.1	
0.156       3.7     0.1	
0.16        3.504	0.094	
0.164       3.323	0.088	
0.168       2.876	0.077	
0.176       2.659	0.07	
0.184       2.451	0.061	
0.192       2.28	0.057	
0.2         2.146	0.055	
0.208       2.013	0.048	
0.216       1.901	0.045	
0.224       1.801	0.041	
0.232       1.701	0.038	
0.24        1.608	0.037	
0.004978	12.63	0.7	
0.005974	13.48	0.51	
0.006991	12.83	0.51
0.007971	13.43	0.39	
0.009968	13.92	0.28	
0.011966	14.32	0.24	
0.015964	15.81	0.26	
0.019964	17.35	0.26	
0.023964	18.87	0.27	
0.027965	20.7	0.3	
0.031966	22.19	0.32	
0.035968	24.04	0.34	
0.03997     25.28	0.36	
0.041972	26.0	0.36	
0.043973	26.3	0.37	
0.045975	26.74	0.37	
0.046775	26.64	0.37	
0.047915	26.48	0.44	
0.050913	26.84	0.43	
0.053906	25.89	0.42
0.056903	25.5	0.41	
0.059901	24.33	0.39	
0.062898	23.44	0.38	
0.065896	22.02	0.35	
0.069494	20.34	0.33	

