10      0.286
20      0.355
35      0.460
50      0.570
70      0.716
95      0.912
120     1.112
145     1.317
170     1.529
195     1.748
220     1.968
245     2.197
260     2.343
300     2.716
400     3.676
500     4.739
750     7.539
1000    10.685
2000    25.908

