      0.00695       6.48       1.32
      0.00895       6.98       0.39
      0.00994       6.05       0.22
      0.01187       6.28       0.13
      0.01492       6.76       0.08
      0.01783       6.46       0.04
      0.01791       6.63       0.08
      0.02089       6.24       0.06
      0.02379       6.31       0.063
      0.02388       6.72       0.067
      0.02984       6.65       0.066
      0.03968       7.05       0.070
      0.03975       6.88       0.069
      0.04178       7.08       0.071
      0.04764       7.21       0.072
      0.04775       7.46       0.075
      0.04970       7.24       0.072
      0.05169       7.67       0.077
      0.05952       7.96       0.080
      0.05966       8.26       0.083
       0.0296        6.5        0.5
       0.0395        6.9        0.3
       0.0476        6.7        0.3
       0.0493        7.3        0.3
       0.0590        8.4        0.4
       0.0653        8.6        0.5
       0.0830        9.1        0.4
       0.1007        9.9        0.5
       0.1184       11.5        0.6
       0.1360       13.1        0.6
       0.1537       16.0        0.8
       0.1713       17.2        0.9
