"T(GK)","mu","lwr1","lwr2","lwr3","upr1","upr2","upr3"
0.001,4.47256992139438e-19,4.37136043919697e-19,4.20102652084366e-19,4.10728501353145e-19,4.57164305298079e-19,4.78434911942291e-19,4.88350354549813e-19
0.00109749876549306,3.76921745746176e-18,3.68395369958033e-18,3.54041877435619e-18,3.46138100826416e-18,3.85275733193513e-18,4.03197070652438e-18,4.11553882639753e-18
0.00120450354025878,2.97084818263299e-17,2.90366928953604e-17,2.79054735742344e-17,2.72821892047095e-17,3.03673266826484e-17,3.17795037324657e-17,3.2438232949907e-17
0.00132194114846603,2.19449151840564e-16,2.14488775831763e-16,2.06133560752389e-16,2.01527002770769e-16,2.24318983986656e-16,2.34747548827744e-16,2.39613863357099e-16
0.00145082877849594,1.52220612461884e-15,1.48781305726577e-15,1.42986327507125e-15,1.39789137391145e-15,1.55600867172609e-15,1.6283252716228e-15,1.66208372478509e-15
0.00159228279334109,9.93424462424079e-15,9.70988914067037e-15,9.33173846932711e-15,9.12295373828328e-15,1.0155007705647e-14,1.06268149949523e-14,1.08471532912274e-14
0.00174752840000768,6.11122642355676e-14,5.9732765265456e-14,5.74067799814792e-14,5.61215561666902e-14,6.24713808653429e-14,6.53728247696599e-14,6.67284296207507e-14
0.00191791026167249,3.55009303377953e-13,3.46999723278389e-13,3.33489467704982e-13,3.26018180873668e-13,3.62911128550879e-13,3.79760031064122e-13,3.87635889920727e-13
0.00210490414451202,1.95088094545131e-12,1.90689006745139e-12,1.83265718769933e-12,1.79156949533556e-12,1.99434216620919e-12,2.08689678054131e-12,2.1301826950064e-12
0.00231012970008316,1.01587481520916e-11,9.92981026694563e-12,9.54331543419103e-12,9.32919020994723e-12,1.03852754991684e-11,1.08670363313906e-11,1.10924697148349e-11
0.00253536449397011,5.02093196444139e-11,4.90785086584748e-11,4.71685595340629e-11,4.61093512116003e-11,5.13300514471532e-11,5.37101082842671e-11,5.48244786644571e-11
0.00278255940220712,2.35916227390734e-10,2.30606489844369e-10,2.21633751611896e-10,2.16652384647078e-10,2.41187817679605e-10,2.52365693861251e-10,2.57602610622584e-10
0.00305385550883342,1.05544163477286e-09,1.03170391390667e-09,9.91568604328795e-10,9.69261433870541e-10,1.07905273236741e-09,1.12903546353846e-09,1.1524686133811e-09
0.00335160265093884,4.5026354415085e-09,4.40144495598104e-09,4.2302544787603e-09,4.13499149674029e-09,4.60348656609481e-09,4.81660525607419e-09,4.9165933648712e-09
0.00367837977182864,1.83437871876563e-08,1.79318727984933e-08,1.72345768262095e-08,1.68460482923353e-08,1.87551938007137e-08,1.96229471124991e-08,2.00303863596121e-08
0.00403701725859656,7.14685989010833e-08,6.98651557756862e-08,6.71490082183681e-08,6.5633504290156e-08,7.30737086700149e-08,7.64524684831009e-08,7.80402447076418e-08
0.00443062145758388,2.66649928070798e-07,2.60673062057359e-07,2.50541328159197e-07,2.44879918520694e-07,2.72647560539982e-07,2.85245489445721e-07,2.91170980481808e-07
0.00486260158006536,9.54001655313279e-07,9.32631838880565e-07,8.96392018482672e-07,8.7611025794623e-07,9.75485922318215e-07,1.0205259069206e-06,1.04173132744896e-06
