1.7909E-08   7.8092E+00  2.7114E-02  
2.8383E-08   7.8195E+00  1.6001E-02    
4.4985E-08   7.7802E+00  1.5102E-02    
7.1296E-08   7.7661E+00  1.7252E-02   
1.1300E-07   7.6519E+00  2.4333E-02   
1.7909E-07   7.5714E+00  3.6717E-02   
2.8383E-07   7.5733E+00  4.5931E-02   
4.4985E-07   7.6167E+00  5.2407E-02   
7.1296E-07   7.5710E+00  5.9494E-02   
1.1300E-06   7.4976E+00  6.6445E-02   
1.7909E-06   7.5745E+00  7.4939E-02   
2.8383E-06   7.5757E+00  8.3775E-02   
4.4985E-06   7.6668E+00  9.3976E-02   
7.1296E-06   7.5095E+00  1.0263E-01   
1.1300E-05   7.7362E+00  1.1767E-01   
1.7909E-05   7.4136E+00  1.2603E-01   
2.8383E-05   7.7286E+00  1.4380E-01   
4.4985E-05   7.6756E+00  1.5864E-01   
7.1296E-05   7.5196E+00  1.7379E-01   
1.1300E-04   7.8341E+00  1.9866E-01   
1.7909E-04   7.5144E+00  2.1469E-01   
2.8383E-04   7.2445E+00  2.5093E-01   
4.4985E-04   6.9702E+00  2.5641E-01   
7.1296E-04   6.8301E+00  2.7691E-01   
1.1300E-03   7.0019E+00  3.1250E-01   
1.7909E-03   5.6533E+00  2.9929E-01   
2.8383E-03   5.3962E+00  3.3142E-01   
4.4985E-03   4.9763E+00  3.3659E-01   
7.1296E-03   5.1530E+00  3.9149E-01   
1.1300E-02   3.5495E+00  3.2201E-01   
1.7909E-02   3.4931E+00  3.2915E-01   
2.8383E-02   3.8298E+00  4.1614E-01   
               
               
               
               
 
