"x","mean","lwr1","lwr2","lwr3","upr1","upr2","upr3"
0.001,3.61433695212151e-19,3.52524305750989e-19,3.3768028367106e-19,3.30158866905948e-19,3.69754277544311e-19,3.8835203093812e-19,3.98662339009076e-19
0.00109749876549306,3.04608182843567e-18,2.97102518971669e-18,2.84592409661818e-18,2.78257867363046e-18,3.11624999429312e-18,3.27291276720523e-18,3.35979357965049e-18
0.00120450354025878,2.40099314672056e-17,2.3418566976035e-17,2.24324991161236e-17,2.19335603992133e-17,2.45633847517045e-17,2.57976077443063e-17,2.64823205537941e-17
0.00132194114846603,1.77364113416454e-16,1.72997601965633e-16,1.65713471406624e-16,1.6203062849888e-16,1.8145546228594e-16,1.90567846823844e-16,1.95625093598428e-16
0.00145082877849594,1.23034829535852e-15,1.20007300221437e-15,1.14954456707249e-15,1.12401851185747e-15,1.25875102352465e-15,1.3219255503943e-15,1.35700095251212e-15
0.00159228279334109,8.02996556054664e-15,7.83247269921933e-15,7.50269827804007e-15,7.33624861782442e-15,8.21548899837999e-15,8.62754685514172e-15,8.85642770938665e-15
0.00174752840000768,4.94006872399136e-14,4.81863671707643e-14,4.61576035018678e-14,4.51345708965103e-14,5.0543025103117e-14,5.30763439190681e-14,5.44841557811486e-14
0.00191791026167249,2.86993320672337e-13,2.79942844992739e-13,2.68156881465225e-13,2.6221960462532e-13,2.93635870074331e-13,3.08342780593178e-13,3.1651977189139e-13
0.00210490414451202,1.57721907670002e-12,1.53849616887028e-12,1.47372529100927e-12,1.44113139355007e-12,1.61376029950801e-12,1.69452350684729e-12,1.73945157505404e-12
0.00231012970008316,8.21358050531223e-12,8.0120599130726e-12,7.67476147400058e-12,7.50522111401113e-12,8.40407396029663e-12,8.82431988321933e-12,9.05823357349086e-12
0.00253536449397011,4.05984748401715e-11,3.96030970004536e-11,3.79359068240269e-11,3.70989331668584e-11,4.15403293723347e-11,4.36165316727115e-11,4.47724394453667e-11
0.00278255940220712,1.90773639852891e-10,1.86099874301468e-10,1.78265813760417e-10,1.74338057356496e-10,1.95195336451615e-10,2.04951906974461e-10,2.10382091726943e-10
0.00305385550883342,8.53556323472237e-10,8.3266198995977e-10,7.97611559313111e-10,7.80062965233758e-10,8.7332018656684e-10,9.16974880453591e-10,9.41263513665763e-10
0.00335160265093884,3.64170311649158e-09,3.55263453921064e-09,3.40309440449928e-09,3.32833677724437e-09,3.72593644332626e-09,3.91219848302906e-09,4.01579409518988e-09
0.00367837977182864,1.48377848903951e-08,1.44752191163726e-08,1.38659435719926e-08,1.35618449258697e-08,1.51805975512315e-08,1.59395439371929e-08,1.63614953591503e-08
0.00403701725859656,5.78149730673762e-08,5.6403644740083e-08,5.40296716792673e-08,5.28468200073079e-08,5.91491174768238e-08,6.21064881529248e-08,6.37500278579866e-08
0.00443062145758388,2.15731895987474e-07,2.10471210930043e-07,2.01613125185257e-07,1.97207625820123e-07,2.20703717822164e-07,2.31739533545861e-07,2.37869948718971e-07
0.00486260158006536,7.71914707031892e-07,7.53135678721695e-07,7.21418129564522e-07,7.05686161998658e-07,7.89679925484374e-07,8.29169759827669e-07,8.51096235715858e-07
0.00533669923120631,2.65195413622842e-06,2.58760283064722e-06,2.47855156023917e-06,2.42461909443603e-06,2.7128974185999e-06,2.84857535295768e-06,2.92387222957502e-06
0.00585702081805667,8.75922295273444e-06,8.54692111539498e-06,8.18665756111202e-06,8.00873044344993e-06,8.95984409376199e-06,9.40799083128177e-06,9.65656576377168e-06
0.00642807311728432,2.78471633222568e-05,2.7172761230304e-05,2.60279525508477e-05,2.54624429245275e-05,2.8482630066065e-05,2.99074047522306e-05,3.0697240328392e-05
0.00705480231071864,8.53146061039648e-05,8.32453210185398e-05,7.97446804820737e-05,7.80126481661207e-05,8.72537968194494e-05,9.16189471191153e-05,9.40373352620746e-05
0.00774263682681127,0.000252167965288455,0.000246055928056235,0.000235715923950078,0.000230598087745521,0.000257876274804989,0.000270778058217419,0.000277921721043684
0.00849753435908645,0.000719876110100959,0.000702460586544617,0.000672952040774056,0.000658346665727526,0.000736147072155958,0.000772939426430838,0.000793319343677819
0.00932603346883221,0.00198692642513876,0.0019390359475753,0.00185761481730595,0.00181731507425645,0.00203184780266463,0.00213328715775165,0.00218950018943313
0.0102353102189903,0.00530803151000984,0.00518060159393708,0.00496316033635229,0.00485553646693249,0.00542807249467949,0.00569874762372579,0.00584881196430804
0.0112332403297803,0.013736484305647,0.013406415809741,0.0128349249873419,0.0125296816401282,0.0140463202472957,0.0147267023652526,0.0150920737320041
0.0123284673944207,0.0344858711687285,0.0336593041360888,0.0322231459636145,0.0314564745655652,0.0352576210601772,0.0369663750339031,0.0378813212334231
0.0135304777457981,0.0840438175919898,0.0820383564481205,0.07853452719057,0.0766651288645191,0.0859149557001348,0.0900784868079222,0.0923022397235187
0.0148496826225447,0.199023141138506,0.194275990495782,0.185984364232527,0.181555121092431,0.203431797375843,0.213281294713262,0.218531836202462
0.0162975083462065,0.458370855537068,0.447399601839142,0.428360236130406,0.418153506792253,0.468469071993539,0.49112867168479,0.503182712919118
0.0178864952905744,1.02761165667963,1.00292433924597,0.960377270271794,0.937481426556576,1.05011706183187,1.10085787221259,1.12778839386755
0.0196304065004027,2.24446286891001,2.19032960381283,2.09771986524463,2.04768036247138,2.29330402697206,2.40399197443178,2.46259246423506
0.0215443469003188,4.77984619860276,4.66511748962289,4.46775342840296,4.36111367701281,4.88332201099809,5.1187412780718,5.2430356934888
