    0.00422    9.700      1.650         
    0.00459    9.000     0.6700        
    0.00471    8.090     0.6200       
    0.00500    8.950     0.7000       
    0.00509    9.820      1.010       
    0.00537    8.860     0.4800       
    0.00544    8.010     0.3900        
    0.00551    9.680     0.7000       
    0.00554    8.870     0.5500       
    0.00577    8.990     0.3100      
    0.00583    8.930     0.3600       
    0.00590    8.740     0.2500        
    0.00593    8.310     0.5500        
    0.00623    8.150     0.2900     
    0.00631    8.100     0.2300     
    0.00652    8.260     0.4800       
    0.00657    8.030     0.2600      
    0.00672    8.320     0.1600       
    0.00700    7.900     0.2700       
    0.00707    8.320     0.2800       
    0.00734    7.700     0.1600       
    0.00740    7.690     0.1500      
    0.00746    7.900     0.1800        
    0.00752    7.830     0.2600      
    0.00812    7.310     0.1100     
    0.00819    7.310     0.2500       
    0.00822    7.430     0.2400       
    0.00829    7.850     0.2400       
    0.00834    7.510     0.2200       
    0.00851    7.380     0.2200      
    0.00860    7.650     0.2300      
    0.00871    7.820     0.2800       
    0.00898    7.360     0.1900      
    0.00908    7.660     0.1700      
    0.00914    7.600     0.2400      
    0.00929    7.540     0.2300      
    0.00938    7.470     0.1400       
    0.00948    7.590     0.1300       
    0.00978    7.320     0.2200      
    0.00987    7.520     0.1900      
    0.00991    7.240     0.1800       
    0.01007    7.390     0.1900       
    0.01018    7.350     0.1400      
    0.01029    7.440     0.1700       
    0.01087    7.380     0.1600      
    0.01096    7.350     0.1300      
    0.01105    7.410     0.1700      
    0.01165    7.240     0.1400      
    0.01178    7.210     0.1200      
    0.01185    7.350     0.1100      
    0.01241    7.580     0.1400      
    0.01255    7.310     0.1300      
    0.01265    7.310     0.1400     
    0.01307    7.360     0.1300     
    0.01383    7.230     0.1300     
